Metric,Delay,Taxi-In,NumArrivals
RMSE,33.54352951049805,4.881191253662109,1.3399349451065063
MAE,16.64927864074707,2.6595473289489746,1.0752755403518677
R²,0.1115756646796413,0.03420066310320047,0.09833583122891565
