YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023,1,2,1,3,2/1/2023 12:00:00 AM,9E,N304PQ,5323,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1451,15.00,1409,1506,57.00,57.00,1.00,3,1400-1459,0.00,,44.00,184.00,0.00,0.00,2.00,0.00,55.00
2023,1,2,1,3,2/1/2023 12:00:00 AM,9E,N304PQ,5323,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1303,7.00,1135,1310,95.00,95.00,1.00,6,1100-1159,0.00,,42.00,184.00,75.00,0.00,13.00,0.00,7.00
2023,1,2,1,3,2/1/2023 12:00:00 AM,9E,N903XJ,4635,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1910,38.00,1845,1948,63.00,63.00,1.00,4,1800-1859,0.00,,49.00,184.00,0.00,0.00,3.00,0.00,60.00
2023,1,2,1,3,2/1/2023 12:00:00 AM,9E,N903XJ,4635,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1715,4.00,1609,1719,70.00,70.00,1.00,4,1600-1659,0.00,,37.00,184.00,0.00,0.00,0.00,0.00,70.00
2023,1,2,1,3,2/1/2023 12:00:00 AM,AA,N310RF,2314,10821,1082106,30852,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,,,1759,,,,,,1700-1759,1.00,B,,1217.00,,,,,
2023,1,2,1,3,2/1/2023 12:00:00 AM,AA,N844NN,2411,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1811,4.00,1815,1815,0.00,0.00,0.00,0,1800-1859,0.00,,53.00,361.00,,,,,
2023,1,2,1,3,2/1/2023 12:00:00 AM,AA,N914NN,2314,11298,1129806,30194,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,,,1415,,,,,,1400-1459,1.00,B,,1217.00,,,,,
2023,1,2,1,3,2/1/2023 12:00:00 AM,AA,N931AN,1183,10821,1082106,30852,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0845,5.00,0853,0850,-3.00,0.00,0.00,-1,0800-0859,0.00,,127.00,946.00,,,,,
2023,1,2,1,3,2/1/2023 12:00:00 AM,AA,N931NN,1223,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1324,21.00,1330,1345,15.00,15.00,1.00,1,1300-1359,0.00,,74.00,361.00,0.00,0.00,15.00,0.00,0.00
2023,1,2,1,3,2/1/2023 12:00:00 AM,AA,N931NN,1223,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1055,6.00,1106,1101,-5.00,0.00,0.00,-1,1100-1159,0.00,,53.00,361.00,,,,,
2023,1,2,1,3,2/1/2023 12:00:00 AM,AA,N934AN,2251,11298,1129806,30194,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,,,2310,,,,,,2300-2359,1.00,B,,1217.00,,,,,
