YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2022,2,5,1,7,5/1/2022 12:00:00 AM,9E,N272PQ,5287,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1150,7.00,1219,1157,-22.00,0.00,0.00,-2,1200-1259,0.00,,39.00,184.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,9E,N272PQ,5287,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0940,5.00,1011,0945,-26.00,0.00,0.00,-2,1000-1059,0.00,,36.00,184.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,9E,N293PQ,5312,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2236,5.00,2259,2241,-18.00,0.00,0.00,-2,2200-2259,0.00,,45.00,184.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,9E,N296PQ,5293,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,0707,7.00,0724,0714,-10.00,0.00,0.00,-1,0700-0759,0.00,,39.00,184.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,9E,N309PQ,5504,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1801,46.00,1845,1847,2.00,2.00,0.00,0,1800-1859,0.00,,40.00,184.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,9E,N309PQ,5504,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1600,3.00,1624,1603,-21.00,0.00,0.00,-2,1600-1659,0.00,,53.00,184.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N150UW,2119,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2030,6.00,2034,2036,2.00,2.00,0.00,0,2000-2059,0.00,,60.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N153UW,1318,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0225,7.00,2159,0232,273.00,273.00,1.00,12,2100-2159,0.00,,57.00,361.00,150.00,0.00,2.00,0.00,121.00
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N156UW,2735,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1212,6.00,1213,1218,5.00,5.00,0.00,0,1200-1259,0.00,,58.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N301PA,2251,11298,1129806,30194,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2238,8.00,2247,2246,-1.00,0.00,0.00,-1,2200-2259,0.00,,145.00,1217.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N583UW,609,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0934,7.00,0954,0941,-13.00,0.00,0.00,-1,0900-0959,0.00,,63.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N711UW,1223,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1410,5.00,1435,1415,-20.00,0.00,0.00,-2,1400-1459,0.00,,58.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N711UW,1232,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1928,5.00,1920,1933,13.00,13.00,0.00,0,1900-1959,0.00,,61.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N711UW,1232,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1706,9.00,1650,1715,25.00,25.00,1.00,1,1600-1659,0.00,,61.00,361.00,0.00,19.00,6.00,0.00,0.00
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N711UW,2316,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1206,7.00,1218,1213,-5.00,0.00,0.00,-1,1200-1259,0.00,,62.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N737US,1292,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1317,9.00,1345,1326,-19.00,0.00,0.00,-2,1300-1359,0.00,,64.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N737US,1292,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1109,4.00,1125,1113,-12.00,0.00,0.00,-1,1100-1159,0.00,,61.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N744P,1588,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0737,5.00,0802,0742,-20.00,0.00,0.00,-2,0800-0859,0.00,,61.00,361.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N755US,579,10821,1082106,30852,13930,1393007,30977,ORD,"Chicago, IL",IL,17,Illinois,41,0813,12.00,0834,0825,-9.00,0.00,0.00,-1,0800-0859,0.00,,108.00,621.00,,,,,
2022,2,5,1,7,5/1/2022 12:00:00 AM,AA,N804AW,2576,13930,1393007,30977,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2304,6.00,2319,2310,-9.00,0.00,0.00,-1,2300-2359,0.00,,81.00,621.00,,,,,
