YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2022,4,10,1,6,10/1/2022 12:00:00 AM,9E,N133EV,5449,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1829,6.00,1844,1835,-9.00,0.00,0.00,-1,1800-1859,0.00,,41.00,184.00,,,,,
2022,4,10,1,6,10/1/2022 12:00:00 AM,9E,N133EV,5449,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1556,3.00,1624,1559,-25.00,0.00,0.00,-2,1600-1659,0.00,,42.00,184.00,,,,,
2022,4,10,1,6,10/1/2022 12:00:00 AM,9E,N607LR,4996,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,0726,7.00,0747,0733,-14.00,0.00,0.00,-1,0700-0759,0.00,,41.00,184.00,,,,,
2022,4,10,1,6,10/1/2022 12:00:00 AM,9E,N676CA,4988,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0048,4.00,0012,0052,40.00,40.00,1.00,2,0001-0559,0.00,,39.00,184.00,0.00,0.00,40.00,0.00,0.00
2022,4,10,1,6,10/1/2022 12:00:00 AM,9E,N928XJ,5199,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1310,7.00,1348,1317,-31.00,0.00,0.00,-2,1300-1359,0.00,,38.00,184.00,,,,,
2022,4,10,1,6,10/1/2022 12:00:00 AM,9E,N928XJ,5199,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1130,6.00,1119,1136,17.00,17.00,1.00,1,1100-1159,0.00,,50.00,184.00,0.00,0.00,17.00,0.00,0.00
2022,4,10,1,6,10/1/2022 12:00:00 AM,AA,N123UW,1251,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0724,11.00,0750,0735,-15.00,0.00,0.00,-1,0700-0759,0.00,,61.00,361.00,,,,,
2022,4,10,1,6,10/1/2022 12:00:00 AM,AA,N150UW,925,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2014,6.00,2022,2020,-2.00,0.00,0.00,-1,2000-2059,0.00,,59.00,361.00,,,,,
2022,4,10,1,6,10/1/2022 12:00:00 AM,AA,N524UW,509,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1452,4.00,1510,1456,-14.00,0.00,0.00,-1,1500-1559,0.00,,62.00,361.00,,,,,
2022,4,10,1,6,10/1/2022 12:00:00 AM,AA,N524UW,509,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1253,5.00,1240,1258,18.00,18.00,1.00,1,1200-1259,0.00,,54.00,361.00,0.00,0.00,0.00,0.00,18.00
