YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023,4,10,1,7,10/1/2023 12:00:00 AM,9E,N146PQ,5380,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1752,39.00,1839,1831,-8.00,0.00,0.00,-1,1800-1859,0.00,,39.00,184.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,9E,N146PQ,5380,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1543,5.00,1620,1548,-32.00,0.00,0.00,-2,1600-1659,0.00,,38.00,184.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,9E,N228PQ,5357,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2250,9.00,2321,2259,-22.00,0.00,0.00,-2,2300-2359,0.00,,36.00,184.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,9E,N279PQ,5102,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,0655,25.00,0729,0720,-9.00,0.00,0.00,-1,0700-0759,0.00,,39.00,184.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,9E,N307PQ,5344,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1106,9.00,1127,1115,-12.00,0.00,0.00,-1,1100-1159,0.00,,42.00,184.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,9E,N307PQ,5344,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0843,8.00,0910,0851,-19.00,0.00,0.00,-2,0900-0959,0.00,,35.00,184.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N153AN,2799,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0003,3.00,0006,0006,0.00,0.00,0.00,0,0001-0559,0.00,,53.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N162UW,2735,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1106,5.00,1142,1111,-31.00,0.00,0.00,-2,1100-1159,0.00,,57.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N162UW,2735,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0859,10.00,0914,0909,-5.00,0.00,0.00,-1,0900-0959,0.00,,58.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N180US,1223,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1518,10.00,1534,1528,-6.00,0.00,0.00,-1,1500-1559,0.00,,62.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N180US,1223,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1309,5.00,1310,1314,4.00,4.00,0.00,0,1300-1359,0.00,,59.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N184US,2055,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1351,4.00,1358,1355,-3.00,0.00,0.00,-1,1300-1359,0.00,,61.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N184US,2055,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1118,6.00,1133,1124,-9.00,0.00,0.00,-1,1100-1159,0.00,,61.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N306NY,2251,11298,1129806,30194,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2248,6.00,2304,2254,-10.00,0.00,0.00,-1,2300-2359,0.00,,150.00,1217.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N316RK,1183,10821,1082106,30852,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0953,6.00,0854,0959,65.00,65.00,1.00,4,0800-0859,0.00,,136.00,946.00,65.00,0.00,0.00,0.00,0.00
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N320TF,2424,13303,1330303,32467,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2345,6.00,2350,2351,1.00,1.00,0.00,0,2300-2359,0.00,,125.00,946.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N542UW,2054,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2147,4.00,2153,2151,-2.00,0.00,0.00,-1,2100-2159,0.00,,57.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N543UW,1588,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0559,4.00,0633,0603,-30.00,0.00,0.00,-2,0600-0659,0.00,,58.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N558UW,1459,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1909,9.00,1927,1918,-9.00,0.00,0.00,-1,1900-1959,0.00,,57.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N558UW,2093,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,2123,6.00,2148,2129,-19.00,0.00,0.00,-2,2100-2159,0.00,,63.00,361.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N802NN,2750,10821,1082106,30852,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,0825,7.00,0907,0832,-35.00,0.00,0.00,-2,0900-0959,0.00,,93.00,622.00,,,,,
2023,4,10,1,7,10/1/2023 12:00:00 AM,AA,N894NN,1403,10821,1082106,30852,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,0806,11.00,0900,0817,-43.00,0.00,0.00,-2,0900-0959,0.00,,157.00,1217.00,,,,,
