YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023,4,11,1,3,11/1/2023 12:00:00 AM,9E,N195PQ,5377,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1059,10.00,1129,1109,-20.00,0.00,0.00,-2,1100-1159,0.00,,39.00,184.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,9E,N195PQ,5377,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0905,6.00,0922,0911,-11.00,0.00,0.00,-1,0900-0959,0.00,,39.00,184.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,9E,N311PQ,5357,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2244,6.00,2255,2250,-5.00,0.00,0.00,-1,2200-2259,0.00,,38.00,184.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,9E,N314PQ,5326,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,0651,10.00,0732,0701,-31.00,0.00,0.00,-2,0700-0759,0.00,,37.00,184.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,9E,N910XJ,5371,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1854,15.00,1844,1909,25.00,25.00,1.00,1,1800-1859,0.00,,47.00,184.00,0.00,0.00,25.00,0.00,0.00
2023,4,11,1,3,11/1/2023 12:00:00 AM,9E,N910XJ,5371,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1550,6.00,1625,1556,-29.00,0.00,0.00,-2,1600-1659,0.00,,37.00,184.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N190UW,1588,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,0731,6.00,0750,0737,-13.00,0.00,0.00,-1,0700-0759,0.00,,76.00,361.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N342SX,2424,13303,1330303,32467,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2327,5.00,2354,2332,-22.00,0.00,0.00,-2,2300-2359,0.00,,119.00,946.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N343SY,1183,10821,1082106,30852,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0901,6.00,0847,0907,20.00,20.00,1.00,1,0800-0859,0.00,,140.00,946.00,20.00,0.00,0.00,0.00,0.00
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N537UW,1036,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1704,8.00,1728,1712,-16.00,0.00,0.00,-2,1700-1759,0.00,,70.00,361.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N537UW,1036,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1451,5.00,1503,1456,-7.00,0.00,0.00,-1,1500-1559,0.00,,55.00,361.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N539UW,2735,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1053,10.00,1119,1103,-16.00,0.00,0.00,-2,1100-1159,0.00,,64.00,361.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N539UW,2735,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0830,5.00,0855,0835,-20.00,0.00,0.00,-2,0800-0859,0.00,,48.00,361.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N544UW,2799,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2325,4.00,2345,2329,-16.00,0.00,0.00,-2,2300-2359,0.00,,56.00,361.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N812NN,1223,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1427,16.00,1445,1443,-2.00,0.00,0.00,-1,1400-1459,0.00,,73.00,361.00,,,,,
2023,4,11,1,3,11/1/2023 12:00:00 AM,AA,N812NN,1223,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1200,7.00,1221,1207,-14.00,0.00,0.00,-1,1200-1259,0.00,,51.00,361.00,,,,,
