YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023,1,1,1,7,1/1/2023 12:00:00 AM,9E,N302PQ,5449,10821,1082106,30852,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1745,10.00,1809,1755,-14.00,0.00,0.00,-1,1800-1859,0.00,,39.00,184.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,9E,N302PQ,5449,12478,1247805,31703,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1552,5.00,1615,1557,-18.00,0.00,0.00,-2,1600-1659,0.00,,44.00,184.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N12028,975,13930,1393008,30977,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1959,7.00,2016,2006,-10.00,0.00,0.00,-1,2000-2059,0.00,,82.00,622.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N188US,1223,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1258,8.00,1324,1306,-18.00,0.00,0.00,-2,1300-1359,0.00,,62.00,361.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N301NW,1213,10821,1082106,30852,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2101,14.00,2145,2115,-30.00,0.00,0.00,-2,2100-2159,0.00,,176.00,1217.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N301NW,1213,11298,1129806,30194,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1800,6.00,1813,1806,-7.00,0.00,0.00,-1,1800-1859,0.00,,145.00,1217.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N8030F,380,10821,1082106,30852,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,0802,8.00,0830,0810,-20.00,0.00,0.00,-2,0800-0859,0.00,,103.00,622.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N811NN,1318,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1957,12.00,1942,2009,27.00,27.00,1.00,1,1900-1959,0.00,,56.00,361.00,13.00,0.00,14.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N833NN,2799,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2327,6.00,2345,2333,-12.00,0.00,0.00,-1,2300-2359,0.00,,55.00,361.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N846NN,2424,13303,1330303,32467,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2234,4.00,2256,2238,-18.00,0.00,0.00,-2,2200-2259,0.00,,124.00,946.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N858NN,2151,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1228,8.00,1154,1236,42.00,42.00,1.00,2,1100-1159,0.00,,66.00,361.00,42.00,0.00,0.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N881NN,2251,11298,1129806,30194,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2311,7.00,2314,2318,4.00,4.00,0.00,0,2300-2359,0.00,,145.00,1217.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N892NN,1183,10821,1082106,30852,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,0842,13.00,0902,0855,-7.00,0.00,0.00,-1,0900-0959,0.00,,137.00,946.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N893NN,2314,10821,1082106,30852,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1713,13.00,1756,1726,-30.00,0.00,0.00,-2,1700-1759,0.00,,169.00,1217.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N893NN,2314,11298,1129806,30194,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1400,5.00,1424,1405,-19.00,0.00,0.00,-2,1400-1459,0.00,,140.00,1217.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N912UY,2411,10821,1082106,30852,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1844,14.00,1904,1858,-6.00,0.00,0.00,-1,1900-1959,0.00,,66.00,361.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N912UY,2411,11057,1105703,31057,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1600,6.00,1617,1606,-11.00,0.00,0.00,-1,1600-1659,0.00,,55.00,361.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AA,N951AA,1403,10821,1082106,30852,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,0844,17.00,0920,0901,-19.00,0.00,0.00,-2,0900-0959,0.00,,177.00,1217.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AS,N538AS,765,10821,1082106,30852,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,2110,27.00,2149,2137,-12.00,0.00,0.00,-1,2100-2159,0.00,,326.00,2335.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,AS,N538AS,922,14747,1474703,30559,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1721,6.00,1740,1727,-13.00,0.00,0.00,-1,1700-1759,0.00,,264.00,2335.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,B6,N229JB,2127,10721,1072102,30721,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1906,5.00,1906,1911,5.00,5.00,0.00,0,1900-1959,0.00,,62.00,369.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,B6,N229JB,726,10821,1082106,30852,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,2058,5.00,2110,2103,-7.00,0.00,0.00,-1,2100-2159,0.00,,58.00,369.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,B6,N351JB,526,10821,1082106,30852,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,1114,6.00,1138,1120,-18.00,0.00,0.00,-2,1100-1159,0.00,,56.00,369.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N304DN,2058,13487,1348702,31650,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2133,11.00,2203,2144,-19.00,0.00,0.00,-2,2200-2259,0.00,,108.00,936.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N304DU,817,10821,1082106,30852,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,1033,13.00,0955,1046,51.00,51.00,1.00,3,0900-0959,0.00,,306.00,1865.00,20.00,0.00,31.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N313DU,2694,14869,1486903,34614,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2221,7.00,1555,2228,393.00,393.00,1.00,12,1500-1559,0.00,,205.00,1865.00,0.00,342.00,51.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N320NB,871,10821,1082106,30852,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,1625,4.00,1642,1629,-13.00,0.00,0.00,-1,1600-1659,0.00,,144.00,936.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N320NB,871,13487,1348702,31650,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1341,9.00,1347,1350,3.00,3.00,0.00,0,1300-1359,0.00,,109.00,936.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N331DN,2192,10821,1082106,30852,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,0928,12.00,0757,0940,103.00,103.00,1.00,6,0700-0759,0.00,,146.00,936.00,103.00,0.00,0.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N334NB,1331,10821,1082106,30852,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1622,6.00,1438,1628,110.00,110.00,1.00,7,1400-1459,0.00,,74.00,409.00,6.00,0.00,0.00,0.00,104.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N334NB,1331,11433,1143302,31295,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1345,6.00,1157,1351,114.00,114.00,1.00,7,1100-1159,0.00,,62.00,409.00,114.00,0.00,0.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N336NB,2784,10821,1082106,30852,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,0934,7.00,0738,0941,123.00,123.00,1.00,8,0700-0759,0.00,,76.00,409.00,119.00,0.00,4.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N338NB,2050,10397,1039707,30397,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1653,4.00,1654,1657,3.00,3.00,0.00,0,1600-1659,0.00,,80.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N338NB,2050,10821,1082106,30852,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1936,6.00,1957,1942,-15.00,0.00,0.00,-1,1900-1959,0.00,,86.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N362NB,2212,11433,1143302,31295,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2226,20.00,2241,2246,5.00,5.00,0.00,0,2200-2259,0.00,,58.00,409.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N3739P,2080,10397,1039707,30397,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1043,5.00,1047,1048,1.00,1.00,0.00,0,1000-1059,0.00,,76.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N3739P,2080,10821,1082106,30852,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1445,20.00,1503,1505,2.00,2.00,0.00,0,1500-1559,0.00,,82.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N802DN,2445,10821,1082106,30852,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1134,5.00,1159,1139,-20.00,0.00,0.00,-2,1100-1159,0.00,,84.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N810DN,1174,10397,1039707,30397,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2017,21.00,2033,2038,5.00,5.00,0.00,0,2000-2059,0.00,,80.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N824DN,2935,10821,1082106,30852,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0811,7.00,0805,0818,13.00,13.00,0.00,0,0800-0859,0.00,,109.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N829DN,353,10397,1039707,30397,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,1349,17.00,1400,1406,6.00,6.00,0.00,0,1400-1459,0.00,,79.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N865DN,1185,10397,1039707,30397,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0017,5.00,0013,0022,9.00,9.00,0.00,0,0001-0559,0.00,,82.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,DL,N930DZ,470,10821,1082106,30852,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,0900,22.00,0915,0922,7.00,7.00,0.00,0,0900-0959,0.00,,96.00,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,F9,,1570,10397,1039707,30397,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,,,0754,,,,,,0700-0759,1.00,A,,577.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,F9,N307FR,2987,10821,1082106,30852,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,1119,31.00,1103,1150,47.00,47.00,1.00,3,1100-1159,0.00,,300.00,1999.00,21.00,0.00,26.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,F9,N308FR,1947,10821,1082106,30852,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,0052,7.00,2320,0059,99.00,99.00,1.00,6,2300-2359,0.00,,299.00,2106.00,35.00,0.00,0.00,0.00,64.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,F9,N308FR,2986,14107,1410702,30466,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2055,8.00,1959,2103,64.00,64.00,1.00,4,1900-1959,0.00,,217.00,1999.00,64.00,0.00,0.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,F9,N322FR,1244,13204,1320402,31454,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0243,9.00,0043,0252,129.00,129.00,1.00,8,0001-0559,0.00,,107.00,787.00,0.00,0.00,0.00,0.00,129.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,F9,N328FR,1946,12889,1288904,32211,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,0646,11.00,0645,0657,12.00,12.00,0.00,0,0600-0659,0.00,,229.00,2106.00,,,,,
2023,1,1,1,7,1/1/2023 12:00:00 AM,F9,N346FR,1243,10821,1082106,30852,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,0816,39.00,0839,0855,16.00,16.00,1.00,1,0800-0859,0.00,,118.00,787.00,3.00,0.00,13.00,0.00,0.00
2023,1,1,1,7,1/1/2023 12:00:00 AM,F9,N351FR,1571,10821,1082106,30852,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,2353,11.00,0003,0004,1.00,1.00,0.00,0,0001-0559,0.00,,83.00,577.00,,,,,
