TAIL_KEY,TAIL_NUM,MODEL_STD,MAX_SEATS,EXPECTED_PASSENGERS,AIRLINE_NAME,CONCOURSE,GATE_COUNT,A_GATES,B_GATES,C_GATES,D_GATES,E_GATES,NUM_DOORS_USED,SEAT_LAYOUT,AVG_ROW_NUM
121DZ,N121DZ,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
121HQ,N121HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
121SY,N121SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
121UW,N121UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
12216,N12216,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
12218,N12218,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
12221,N12221,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
12225,N12225,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
12238,N12238,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
122DN,N122DN,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
122HQ,N122HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
122NN,N122NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
122US,N122US,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
123DW,N123DW,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
123HQ,N123HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
123NN,N123NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
123UW,N123UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
124AA,N124AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
124DX,N124DX,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
124HQ,N124HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
124US,N124US,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
125AA,N125AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
125DN,N125DN,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
125HQ,N125HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
125SY,N125SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
125UW,N125UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
126AN,N126AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
126DN,N126DN,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
126HQ,N126HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
126UW,N126UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
12754,N12754,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
127AA,N127AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
127DN,N127DN,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
127HQ,N127HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
127SY,N127SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
127UW,N127UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
128AN,N128AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
128DN,N128DN,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
128DU,N128DU,A220-100,135.0,116.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,23.0
128HQ,N128HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
128SY,N128SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
128UW,N128UW,A320-200,194.0,167.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,30.0
129AA,N129AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
129DN,N129DN,A321-200,220.0,189.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,36.0
129DU,N129DU,A220-100,135.0,116.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,23.0
129HQ,N129HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
130AN,N130AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
130HQ,N130HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
130SY,N130SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
131DU,N131DU,A220-100,135.0,116.0,Delta Air Lines,D,22,0,0,0,22,0,1.0,Narrow,23.0
131EV,N131EV,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
131HQ,N131HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
131NN,N131NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
131SY,N131SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
13227,N13227,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
13248,N13248,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
132AN,N132AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
132EV,N132EV,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
132HQ,N132HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
132SY,N132SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
133AN,N133AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
133EV,N133EV,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
133SY,N133SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
134AN,N134AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
134EV,N134EV,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
134HQ,N134HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
135EV,N135EV,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
135HQ,N135HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
135NN,N135NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
136AN,N136AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
136EV,N136EV,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
13716,N13716,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
13718,N13718,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
13720,N13720,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
13750,N13750,737-700,149.0,128.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,28.0
137AA,N137AA,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
137EV,N137EV,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
137HQ,N137HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
138AN,N138AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
138EV,N138EV,CRJ900,90.0,77.0,Endeavor Air (Delta Connection),D,22,0,0,0,22,0,1.0,Narrow,21.0
138HQ,N138HQ,E175,88.0,76.0,Republic Airways,D,22,0,0,0,22,0,1.0,Narrow,21.0
139AN,N139AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
140AN,N140AN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
140SY,N140SY,E175,88.0,76.0,SkyWest Airlines,D,22,0,0,0,22,0,1.0,Narrow,21.0
141NN,N141NN,A321-200,220.0,189.0,American Airlines,D,22,0,0,0,22,0,1.0,Narrow,36.0
14214,N14214,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
14219,N14219,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
14228,N14228,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
14230,N14230,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
14231,N14231,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
14235,N14235,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
14237,N14237,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
14240,N14240,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
14242,N14242,737-800,189.0,163.0,United Airlines,D,22,0,0,0,22,0,1.0,Narrow,31.0
