TAIL_NUM,MFR,MODEL,MODEL_STD,YEAR MFR,MAX_SEATS
N839AW,AIRBUS,A319-132,A319-100,2006.0,156.0
N840AW,AIRBUS,A319-132,A319-100,2006.0,156.0
N871UA,AIRBUS,A319-132,A319-100,2003.0,156.0
N872UA,AIRBUS,A319-132,A319-100,2003.0,156.0
N873UA,AIRBUS,A319-132,A319-100,2003.0,156.0
N874UA,AIRBUS,A319-132,A319-100,,156.0
N875UA,AIRBUS,A319-132,A319-100,2004.0,156.0
N876UA,AIRBUS,A319-132,A319-100,2004.0,156.0
N877UA,AIRBUS,A319-132,A319-100,2004.0,156.0
N878UA,AIRBUS,A319-132,A319-100,2005.0,156.0
N879UA,AIRBUS,A319-132,A319-100,2005.0,156.0
N880UA,AIRBUS,A319-132,A319-100,2005.0,156.0
N881UA,AIRBUS,A319-132,A319-100,2005.0,156.0
N882UA,AIRBUS,A319-132,A319-100,2005.0,156.0
N883UA,AIRBUS,A319-132,A319-100,2005.0,156.0
N884UA,AIRBUS,A319-132,A319-100,2005.0,156.0
N889UA,AIRBUS,A319-132,A319-100,2006.0,156.0
N890UA,AIRBUS,A319-132,A319-100,2006.0,156.0
N891UA,AIRBUS,A319-132,A319-100,2006.0,156.0
N892UA,AIRBUS,A319-132,A319-100,2006.0,156.0
N893UA,AIRBUS,A319-132,A319-100,2006.0,156.0
N894UA,AIRBUS,A319-132,A319-100,2006.0,156.0
N895UA,AIRBUS,A319-132,A319-100,2007.0,156.0
N896UA,AIRBUS,A319-132,A319-100,2007.0,156.0
N897UA,AIRBUS,A319-132,A319-100,2007.0,156.0
N898UA,AIRBUS,A319-132,A319-100,2007.0,156.0
N899UA,AIRBUS,A319-132,A319-100,2007.0,156.0
N377NW,AIRBUS,A320-211,A320-200,2003.0,194.0
N378NW,AIRBUS,A320-211,A320-200,2003.0,194.0
N375NC,AIRBUS,A320-212,A320-200,2002.0,194.0
N376NW,AIRBUS,A320-212,A320-200,2002.0,194.0
190NV,AIRBUS,A320-214,A320-200,2015.0,194.0
193NV,AIRBUS,A320-214,A320-200,2015.0,194.0
199NV,AIRBUS,A320-214,A320-200,2016.0,194.0
202NV,AIRBUS,A320-214,A320-200,2013.0,194.0
203NV,AIRBUS,A320-214,A320-200,2012.0,194.0
205NV,AIRBUS,A320-214,A320-200,2013.0,194.0
206NV,AIRBUS,A320-214,A320-200,2012.0,194.0
207NV,AIRBUS,A320-214,A320-200,2013.0,194.0
208NV,AIRBUS,A320-214,A320-200,2013.0,194.0
209NV,AIRBUS,A320-214,A320-200,2013.0,194.0
218NV,AIRBUS,A320-214,A320-200,2000.0,194.0
219NV,AIRBUS,A320-214,A320-200,2000.0,194.0
220NV,AIRBUS,A320-214,A320-200,2000.0,194.0
221NV,AIRBUS,A320-214,A320-200,2000.0,194.0
229NV,AIRBUS,A320-214,A320-200,1997.0,194.0
233NV,AIRBUS,A320-214,A320-200,2003.0,194.0
235NV,AIRBUS,A320-214,A320-200,,194.0
236NV,AIRBUS,A320-214,A320-200,,194.0
237NV,AIRBUS,A320-214,A320-200,,194.0
238NV,AIRBUS,A320-214,A320-200,,194.0
239NV,AIRBUS,A320-214,A320-200,,194.0
240NV,AIRBUS,A320-214,A320-200,2000.0,194.0
241NV,AIRBUS,A320-214,A320-200,2000.0,194.0
244NV,AIRBUS,A320-214,A320-200,,194.0
245NV,AIRBUS,A320-214,A320-200,,194.0
246NV,AIRBUS,A320-214,A320-200,2017.0,194.0
247NV,AIRBUS,A320-214,A320-200,2017.0,194.0
248NV,AIRBUS,A320-214,A320-200,2017.0,194.0
249NV,AIRBUS,A320-214,A320-200,2017.0,194.0
250NV,AIRBUS,A320-214,A320-200,2017.0,194.0
251NV,AIRBUS,A320-214,A320-200,2017.0,194.0
253NV,AIRBUS,A320-214,A320-200,2017.0,194.0
254NV,AIRBUS,A320-214,A320-200,2017.0,194.0
257NV,AIRBUS,A320-214,A320-200,2018.0,194.0
259NV,AIRBUS,A320-214,A320-200,2009.0,194.0
261NV,AIRBUS,A320-214,A320-200,2009.0,194.0
271NV,AIRBUS,A320-214,A320-200,2006.0,194.0
275NV,AIRBUS,A320-214,A320-200,,194.0
276NV,AIRBUS,A320-214,A320-200,2019.0,194.0
277NV,AIRBUS,A320-214,A320-200,2007.0,194.0
278NV,AIRBUS,A320-214,A320-200,2010.0,194.0
279NV,AIRBUS,A320-214,A320-200,,194.0
280NV,AIRBUS,A320-214,A320-200,,194.0
281NV,AIRBUS,A320-214,A320-200,,194.0
282NV,AIRBUS,A320-214,A320-200,,194.0
283NV,AIRBUS,A320-214,A320-200,,194.0
284NV,AIRBUS,A320-214,A320-200,2012.0,194.0
285NV,AIRBUS,A320-214,A320-200,2012.0,194.0
286NV,AIRBUS,A320-214,A320-200,2010.0,194.0
289NV,AIRBUS,A320-214,A320-200,2011.0,194.0
290NV,AIRBUS,A320-214,A320-200,2004.0,194.0
292NV,AIRBUS,A320-214,A320-200,,194.0
293NV,AIRBUS,A320-214,A320-200,2011.0,194.0
294NV,AIRBUS,A320-214,A320-200,,194.0
295NV,AIRBUS,A320-214,A320-200,,194.0
296NV,AIRBUS,A320-214,A320-200,2006.0,194.0
297NV,AIRBUS,A320-214,A320-200,2006.0,194.0
298NV,AIRBUS,A320-214,A320-200,2006.0,194.0
299NV,AIRBUS,A320-214,A320-200,2011.0,194.0
N125UW,AIRBUS,A320-214,A320-200,2009.0,194.0
N126UW,AIRBUS,A320-214,A320-200,2009.0,194.0
N127UW,AIRBUS,A320-214,A320-200,2010.0,194.0
N128UW,AIRBUS,A320-214,A320-200,2010.0,194.0
N230FR,AIRBUS,A320-214,A320-200,2015.0,194.0
N232FR,AIRBUS,A320-214,A320-200,2015.0,194.0
N233FR,AIRBUS,A320-214,A320-200,2016.0,194.0
N235FR,AIRBUS,A320-214,A320-200,2016.0,194.0
N236FR,AIRBUS,A320-214,A320-200,2016.0,194.0
N238FR,AIRBUS,A320-214,A320-200,2016.0,194.0
N1902U,AIRBUS,A320-232,A320-200,2006.0,194.0
N489UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N4901U,AIRBUS,A320-232,A320-200,2006.0,194.0
N490UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N491UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N492UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N493UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N494UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N495UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N496UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N497UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N498UA,AIRBUS,A320-232,A320-200,2002.0,194.0
N601AW,AIRBUS,A320-232,A320-200,2003.0,194.0
N601NK,AIRBUS,A320-232,A320-200,2010.0,194.0
N602NK,AIRBUS,A320-232,A320-200,2010.0,194.0
N603NK,AIRBUS,A320-232,A320-200,2010.0,194.0
N604NK,AIRBUS,A320-232,A320-200,,194.0
N605NK,AIRBUS,A320-232,A320-200,2011.0,194.0
N606NK,AIRBUS,A320-232,A320-200,2011.0,194.0
N608NK,AIRBUS,A320-232,A320-200,2011.0,194.0
N609NK,AIRBUS,A320-232,A320-200,2011.0,194.0
N611NK,AIRBUS,A320-232,A320-200,2012.0,194.0
N612NK,AIRBUS,A320-232,A320-200,2012.0,194.0
N613NK,AIRBUS,A320-232,A320-200,2012.0,194.0
N614NK,AIRBUS,A320-232,A320-200,2012.0,194.0
N615NK,AIRBUS,A320-232,A320-200,2012.0,194.0
N616NK,AIRBUS,A320-232,A320-200,2012.0,194.0
N617NK,AIRBUS,A320-232,A320-200,2012.0,194.0
N618NK,AIRBUS,A320-232,A320-200,2013.0,194.0
N619NK,AIRBUS,A320-232,A320-200,2013.0,194.0
N620NK,AIRBUS,A320-232,A320-200,2013.0,194.0
N621NK,AIRBUS,A320-232,A320-200,2013.0,194.0
N622NK,AIRBUS,A320-232,A320-200,2013.0,194.0
N623NK,AIRBUS,A320-232,A320-200,2013.0,194.0
N624NK,AIRBUS,A320-232,A320-200,2013.0,194.0
N625NK,AIRBUS,A320-232,A320-200,,194.0
N626NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N627NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N628NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N629NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N630NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N631NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N632NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N633NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N634NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N635NK,AIRBUS,A320-232,A320-200,2014.0,194.0
N636NK,AIRBUS,A320-232,A320-200,2015.0,194.0
N637NK,AIRBUS,A320-232,A320-200,2015.0,194.0
N638NK,AIRBUS,A320-232,A320-200,2015.0,194.0
N639JB,AIRBUS,A320-232,A320-200,2006.0,194.0
N639NK,AIRBUS,A320-232,A320-200,2015.0,194.0
N640NK,AIRBUS,A320-232,A320-200,2015.0,194.0
N641NK,AIRBUS,A320-232,A320-200,2015.0,194.0
N642NK,AIRBUS,A320-232,A320-200,2015.0,194.0
N643NK,AIRBUS,A320-232,A320-200,2015.0,194.0
N644NK,AIRBUS,A320-232,A320-200,2016.0,194.0
N645NK,AIRBUS,A320-232,A320-200,2016.0,194.0
N646NK,AIRBUS,A320-232,A320-200,2016.0,194.0
N647NK,AIRBUS,A320-232,A320-200,2017.0,194.0
N648NK,AIRBUS,A320-232,A320-200,2017.0,194.0
N649JB,AIRBUS,A320-232,A320-200,2006.0,194.0
N649NK,AIRBUS,A320-232,A320-200,2017.0,194.0
N650NK,AIRBUS,A320-232,A320-200,2017.0,194.0
N651NK,AIRBUS,A320-232,A320-200,2017.0,194.0
N652NK,AIRBUS,A320-232,A320-200,2017.0,194.0
N653NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N654NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N655NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N656NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N668AW,AIRBUS,A320-232,A320-200,2002.0,194.0
N669AW,AIRBUS,A320-232,A320-200,2002.0,194.0
N673AW,AIRBUS,A320-232,A320-200,,194.0
N679AW,AIRBUS,A320-232,A320-200,2005.0,194.0
N680AW,AIRBUS,A320-232,A320-200,2005.0,194.0
N690NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N691NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N692NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N693NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N694NK,AIRBUS,A320-232,A320-200,2018.0,194.0
N696NK,AIRBUS,A320-232,A320-200,2019.0,194.0
N697NK,AIRBUS,A320-232,A320-200,2010.0,194.0
N698NK,AIRBUS,A320-232,A320-200,2010.0,194.0
N301FR,AIRBUS,A320-251N,A320-200,2016.0,194.0
N303FR,AIRBUS,A320-251N,A320-200,2016.0,194.0
N304FR,AIRBUS,A320-251N,A320-200,2016.0,194.0
N305FR,AIRBUS,A320-251N,A320-200,2016.0,194.0
N307FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N308FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N309FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N310FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N311FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N312FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N313FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N316FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N317FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N318FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N322FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N323FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N324FR,AIRBUS,A320-251N,A320-200,2017.0,194.0
N326FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N328FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N329FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N330FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N331FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N332FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N334FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N335FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N336FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N337FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N338FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N339FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N341FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N342FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N343FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N344FR,AIRBUS,A320-251N,A320-200,2018.0,194.0
N346FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N347FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N348FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N349FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N350FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N351FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N353FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N354FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N356FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N358FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N359FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N360FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N361FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N362FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N363FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N364FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N365FR,AIRBUS,A320-251N,A320-200,2019.0,194.0
N366FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N367FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N368FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N369FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N370FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N371FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N372FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N373FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N374FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N375FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N376FR,AIRBUS,A320-251N,A320-200,2020.0,194.0
N377FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N378FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N379FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N380FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N381FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N382FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N383FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N384FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N385FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N386FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N387FR,AIRBUS,A320-251N,A320-200,2021.0,194.0
N388FR,AIRBUS,A320-251N,A320-200,2022.0,194.0
N389FR,AIRBUS,A320-251N,A320-200,2022.0,194.0
N390FR,AIRBUS,A320-251N,A320-200,2022.0,194.0
N391FR,AIRBUS,A320-251N,A320-200,2022.0,194.0
N392FR,AIRBUS,A320-251N,A320-200,,194.0
N393FR,AIRBUS,A320-251N,A320-200,2022.0,194.0
N394FR,AIRBUS,A320-251N,A320-200,2022.0,194.0
N395FR,AIRBUS,A320-251N,A320-200,2022.0,194.0
N396FR,AIRBUS,A320-251N,A320-200,2022.0,194.0
N901NK,AIRBUS,A320-271N,A320-200,2016.0,194.0
N902NK,AIRBUS,A320-271N,A320-200,2016.0,194.0
N903NK,AIRBUS,A320-271N,A320-200,2016.0,194.0
N904NK,AIRBUS,A320-271N,A320-200,2016.0,194.0
N905NK,AIRBUS,A320-271N,A320-200,2016.0,194.0
N906NK,AIRBUS,A320-271N,A320-200,2018.0,194.0
N907NK,AIRBUS,A320-271N,A320-200,2018.0,194.0
N908NK,AIRBUS,A320-271N,A320-200,2018.0,194.0
N910NK,AIRBUS,A320-271N,A320-200,2018.0,194.0
N912NK,AIRBUS,A320-271N,A320-200,2018.0,194.0
N913NK,AIRBUS,A320-271N,A320-200,2017.0,194.0
N915NK,AIRBUS,A320-271N,A320-200,2018.0,194.0
N916NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N917NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N918NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N919NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N920NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N921NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N922NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N923NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N924NK,AIRBUS,A320-271N,A320-200,2019.0,194.0
N925NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N926NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N927NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N929NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N930NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N931NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N932NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N933NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N934NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N935NK,AIRBUS,A320-271N,A320-200,2020.0,194.0
N936NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N937NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N938NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N939NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N940NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N941NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N942NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N943NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N944NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N945NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N946NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N947NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N948NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N949NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N950NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N951NK,AIRBUS,A320-271N,A320-200,2021.0,194.0
N952NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N953NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N954NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N955NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N956NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N957NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N958NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N959NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N960NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N961NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N962NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N963NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N964NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N965NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N967NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N968NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N969NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N972NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N973NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N975NK,AIRBUS,A320-271N,A320-200,2022.0,194.0
N976NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N977NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N978NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N980NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N981NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N982NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N983NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N984NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N985NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N987NK,AIRBUS,A320-271N,A320-200,2023.0,194.0
N989NK,AIRBUS,A320-271N,A320-200,2024.0,194.0
N990NK,AIRBUS,A320-271N,A320-200,2024.0,194.0
N991NK,AIRBUS,A320-271N,A320-200,2024.0,194.0
N992NK,AIRBUS,A320-271N,A320-200,2024.0,194.0
N993NK,AIRBUS,A320-271N,A320-200,2024.0,194.0
N994NK,AIRBUS,A320-271N,A320-200,2024.0,194.0
