TAIL_NUM,MFR,MODEL,MODEL_STD,YEAR MFR
N8555Z,BOEING,737-800,737-800,2017
N8556Z,BOEING,737-800,737-800,2017
N8557Q,BOEING,737-800,737-800,2017
N8558Z,BOEING,737-800,737-800,2017
N8559Q,BOEING,737-800,737-800,2018
N8560Z,BOEING,737-800,737-800,2018
N8561Z,BOEING,737-800,737-800,2018
N8562Z,BOEING,737-800,737-800,2018
N8563Z,BOEING,737-800,737-800,2018
N8564Z,BOEING,737-800,737-800,2018
N8565Z,BOEING,737-800,737-800,2018
N8566Z,BOEING,737-800,737-800,2018
N8567Z,BOEING,737-800,737-800,2018
N8568Z,BOEING,737-800,737-800,2018
N8569Z,BOEING,737-800,737-800,2018
N8570W,BOEING,737-800,737-800,2018
N8571Z,BOEING,737-800,737-800,2018
N8572X,BOEING,737-800,737-800,2018
N8573Z,BOEING,737-800,737-800,2018
N8574Z,BOEING,737-800,737-800,2018
N8575Z,BOEING,737-800,737-800,2018
N8576Z,BOEING,737-800,737-800,2018
N8577Z,BOEING,737-800,737-800,2018
N8578Q,BOEING,737-800,737-800,2018
N8579Z,BOEING,737-800,737-800,2018
N8580Z,BOEING,737-800,737-800,2018
N8581Z,BOEING,737-800,737-800,2018
N8582Z,BOEING,737-800,737-800,2018
N8583Z,BOEING,737-800,737-800,2018
N8584Z,BOEING,737-800,737-800,2018
N8713M,BOEING,737-800,737-800,2017
N998NN,BOEING,737-800,737-800,2016
N214AK,BOEING,737-900ER,737-900ER,2019
N215AK,BOEING,737-900ER,737-900ER,2019
N265AK,BOEING,737-900ER,737-900ER,2016
N266AK,BOEING,737-900ER,737-900ER,2016
N267AK,BOEING,737-900ER,737-900ER,2017
N268AK,BOEING,737-900ER,737-900ER,2017
N270AK,BOEING,737-900ER,737-900ER,2017
N272AK,BOEING,737-900ER,737-900ER,2017
N273AK,BOEING,737-900ER,737-900ER,2017
N274AK,BOEING,737-900ER,737-900ER,2017
N275AK,BOEING,737-900ER,737-900ER,2017
N277AK,BOEING,737-900ER,737-900ER,2017
N278AK,BOEING,737-900ER,737-900ER,2017
N280AK,BOEING,737-900ER,737-900ER,2017
N281AK,BOEING,737-900ER,737-900ER,2017
N282AK,BOEING,737-900ER,737-900ER,2017
N283AK,BOEING,737-900ER,737-900ER,2017
N284AK,BOEING,737-900ER,737-900ER,2017
N285AK,BOEING,737-900ER,737-900ER,2018
N287AK,BOEING,737-900ER,737-900ER,2018
N288AK,BOEING,737-900ER,737-900ER,2018
N290AK,BOEING,737-900ER,737-900ER,2018
N292AK,BOEING,737-900ER,737-900ER,2018
N293AK,BOEING,737-900ER,737-900ER,2018
N294AK,BOEING,737-900ER,737-900ER,2018
N296AK,BOEING,737-900ER,737-900ER,2018
N297AK,BOEING,737-900ER,737-900ER,2019
N298AK,BOEING,737-900ER,737-900ER,2019
N38479,BOEING,737-900ER,737-900ER,2016
N61898,BOEING,737-900ER,737-900ER,2016
N62895,BOEING,737-900ER,737-900ER,2016
N62896,BOEING,737-900ER,737-900ER,2016
N63899,BOEING,737-900ER,737-900ER,2016
N66897,BOEING,737-900ER,737-900ER,2016
N866DN,BOEING,737-900ER,737-900ER,2016
N867DN,BOEING,737-900ER,737-900ER,2016
N868DN,BOEING,737-900ER,737-900ER,2016
N869DN,BOEING,737-900ER,737-900ER,2016
N870DN,BOEING,737-900ER,737-900ER,2017
N871DN,BOEING,737-900ER,737-900ER,nan
N872DN,BOEING,737-900ER,737-900ER,2017
N873DN,BOEING,737-900ER,737-900ER,2017
N874DN,BOEING,737-900ER,737-900ER,2017
N875DN,BOEING,737-900ER,737-900ER,2017
N876DN,BOEING,737-900ER,737-900ER,nan
N877DN,BOEING,737-900ER,737-900ER,2017
N878DN,BOEING,737-900ER,737-900ER,2017
N879DN,BOEING,737-900ER,737-900ER,2017
N880DN,BOEING,737-900ER,737-900ER,2017
N881DN,BOEING,737-900ER,737-900ER,2017
N882DN,BOEING,737-900ER,737-900ER,2017
N883DN,BOEING,737-900ER,737-900ER,2017
N884DN,BOEING,737-900ER,737-900ER,2017
N885DN,BOEING,737-900ER,737-900ER,2017
N886DN,BOEING,737-900ER,737-900ER,2017
N887DN,BOEING,737-900ER,737-900ER,2017
N888DU,BOEING,737-900ER,737-900ER,2017
N889DN,BOEING,737-900ER,737-900ER,2017
N890DN,BOEING,737-900ER,737-900ER,2018
N891DN,BOEING,737-900ER,737-900ER,2018
N892DN,BOEING,737-900ER,737-900ER,2018
N893DN,BOEING,737-900ER,737-900ER,2018
N894DN,BOEING,737-900ER,737-900ER,2018
N895DN,BOEING,737-900ER,737-900ER,2018
N896DN,BOEING,737-900ER,737-900ER,2018
N897DN,BOEING,737-900ER,737-900ER,2018
N898DN,BOEING,737-900ER,737-900ER,2018
N899DN,BOEING,737-900ER,737-900ER,2018
N900DU,BOEING,737-900ER,737-900ER,2018
N901DN,BOEING,737-900ER,737-900ER,2018
N902DN,BOEING,737-900ER,737-900ER,2018
N903DN,BOEING,737-900ER,737-900ER,2018
N904DN,BOEING,737-900ER,737-900ER,2018
N905DN,BOEING,737-900ER,737-900ER,2018
N906DN,BOEING,737-900ER,737-900ER,2018
N907DN,BOEING,737-900ER,737-900ER,2018
N908DN,BOEING,737-900ER,737-900ER,nan
N909DN,BOEING,737-900ER,737-900ER,2018
N910DU,BOEING,737-900ER,737-900ER,2018
N911DQ,BOEING,737-900ER,737-900ER,2018
N912DU,BOEING,737-900ER,737-900ER,2018
N913DU,BOEING,737-900ER,737-900ER,2018
N914DU,BOEING,737-900ER,737-900ER,2019
N915DU,BOEING,737-900ER,737-900ER,2019
N916DU,BOEING,737-900ER,737-900ER,2019
N917DU,BOEING,737-900ER,737-900ER,2019
N918DU,BOEING,737-900ER,737-900ER,2019
N919DU,BOEING,737-900ER,737-900ER,2019
N920DU,BOEING,737-900ER,737-900ER,2019
N921DU,BOEING,737-900ER,737-900ER,2019
N922DZ,BOEING,737-900ER,737-900ER,2019
N923DZ,BOEING,737-900ER,737-900ER,2019
N924DZ,BOEING,737-900ER,737-900ER,2019
N925DZ,BOEING,737-900ER,737-900ER,2019
N926DZ,BOEING,737-900ER,737-900ER,2019
N927DZ,BOEING,737-900ER,737-900ER,2019
N928DU,BOEING,737-900ER,737-900ER,2019
N929DZ,BOEING,737-900ER,737-900ER,2019
N930DZ,BOEING,737-900ER,737-900ER,2019
N179JB,nan,nan,NAN,nan
N183JB,nan,nan,NAN,nan
N187JB,nan,nan,NAN,nan
N197JB,nan,nan,NAN,nan
N198JB,nan,nan,NAN,nan
N202WN,nan,nan,NAN,nan
N203JB,nan,nan,NAN,nan
N205FR,nan,nan,NAN,nan
N206JB,nan,nan,NAN,nan
N210FR,nan,nan,NAN,nan
N211FR,nan,nan,NAN,nan
N213FR,nan,nan,NAN,nan
N216FR,nan,nan,NAN,nan
N216JB,nan,nan,NAN,nan
N223WN,nan,nan,NAN,nan
N227FR,nan,nan,NAN,nan
N228FR,nan,nan,NAN,nan
N228JB,nan,nan,NAN,nan
N229FR,nan,nan,NAN,nan
N229JB,nan,nan,NAN,nan
N230WN,nan,nan,NAN,nan
N231JB,nan,nan,NAN,nan
N236JB,nan,nan,NAN,nan
N238JB,nan,nan,NAN,nan
N239JB,nan,nan,NAN,nan
N247JB,nan,nan,NAN,nan
N249JB,nan,nan,NAN,nan
N265JB,nan,nan,NAN,nan
N274JB,nan,nan,NAN,nan
N292JB,nan,nan,NAN,nan
N296JB,nan,nan,NAN,nan
N309US,nan,nan,NAN,nan
N312US,nan,nan,NAN,nan
N317US,nan,nan,NAN,nan
N320US,nan,nan,NAN,nan
N326US,nan,nan,NAN,nan
N330NW,nan,nan,NAN,nan
N331NW,nan,nan,NAN,nan
N332NW,nan,nan,NAN,nan
N346JB,nan,nan,NAN,nan
N348JB,nan,nan,NAN,nan
N353JB,nan,nan,NAN,nan
N354JB,nan,nan,NAN,nan
N355JB,nan,nan,NAN,nan
N358JB,nan,nan,NAN,nan
N373JB,nan,nan,NAN,nan
N374JB,nan,nan,NAN,nan
N400WN,nan,nan,NAN,nan
N401WN,nan,nan,NAN,nan
N403UA,nan,nan,NAN,nan
N403WN,nan,nan,NAN,nan
N404WN,nan,nan,NAN,nan
N405UA,nan,nan,NAN,nan
N405WN,nan,nan,NAN,nan
N406WN,nan,nan,NAN,nan
N407UA,nan,nan,NAN,nan
N407WN,nan,nan,NAN,nan
N408UA,nan,nan,NAN,nan
N408WN,nan,nan,NAN,nan
N409UA,nan,nan,NAN,nan
N410UA,nan,nan,NAN,nan
N411UA,nan,nan,NAN,nan
N411WN,nan,nan,NAN,nan
N412UA,nan,nan,NAN,nan
N412WN,nan,nan,NAN,nan
N413UA,nan,nan,NAN,nan
N414UA,nan,nan,NAN,nan
N414WN,nan,nan,NAN,nan
N415UA,nan,nan,NAN,nan
N415WN,nan,nan,NAN,nan
N416UA,nan,nan,NAN,nan
N416WN,nan,nan,NAN,nan
N417UA,nan,nan,NAN,nan
N417WN,nan,nan,NAN,nan
N418UA,nan,nan,NAN,nan
N418WN,nan,nan,NAN,nan
N419UA,nan,nan,NAN,nan
N419WN,nan,nan,NAN,nan
N420UA,nan,nan,NAN,nan
N421UA,nan,nan,NAN,nan
N422UA,nan,nan,NAN,nan
N423UA,nan,nan,NAN,nan
N424UA,nan,nan,NAN,nan
N430WN,nan,nan,NAN,nan
N432WN,nan,nan,NAN,nan
N434WN,nan,nan,NAN,nan
N441YX,nan,nan,NAN,nan
N442YX,nan,nan,NAN,nan
N443YX,nan,nan,NAN,nan
N444YX,nan,nan,NAN,nan
N446YX,nan,nan,NAN,nan
N447YX,nan,nan,NAN,nan
N448YX,nan,nan,NAN,nan
N449YX,nan,nan,NAN,nan
N450WN,nan,nan,NAN,nan
N450YX,nan,nan,NAN,nan
N451YX,nan,nan,NAN,nan
N453YX,nan,nan,NAN,nan
N466WN,nan,nan,NAN,nan
N484WN,nan,nan,NAN,nan
N490WN,nan,nan,NAN,nan
N492WN,nan,nan,NAN,nan
N493WN,nan,nan,NAN,nan
N496WN,nan,nan,NAN,nan
N502NK,nan,nan,NAN,nan
N503NK,nan,nan,NAN,nan
N504NK,nan,nan,NAN,nan
N505NK,nan,nan,NAN,nan
N506NK,nan,nan,NAN,nan
N507NK,nan,nan,NAN,nan
N508NK,nan,nan,NAN,nan
N509NK,nan,nan,NAN,nan
N510NK,nan,nan,NAN,nan
N512NK,nan,nan,NAN,nan
N514NK,nan,nan,NAN,nan
N515NK,nan,nan,NAN,nan
N516NK,nan,nan,NAN,nan
N517NK,nan,nan,NAN,nan
N519NK,nan,nan,NAN,nan
N521NK,nan,nan,NAN,nan
N522NK,nan,nan,NAN,nan
N523NK,nan,nan,NAN,nan
N524NK,nan,nan,NAN,nan
N525NK,nan,nan,NAN,nan
N526NK,nan,nan,NAN,nan
N528NK,nan,nan,NAN,nan
N529NK,nan,nan,NAN,nan
N530NK,nan,nan,NAN,nan
N531NK,nan,nan,NAN,nan
N532NK,nan,nan,NAN,nan
N533NK,nan,nan,NAN,nan
N534NK,nan,nan,NAN,nan
N538US,nan,nan,NAN,nan
N546US,nan,nan,NAN,nan
N551WN,nan,nan,NAN,nan
N557WN,nan,nan,NAN,nan
N559WN,nan,nan,NAN,nan
N560WN,nan,nan,NAN,nan
N562WN,nan,nan,NAN,nan
N631RW,nan,nan,NAN,nan
N633RW,nan,nan,NAN,nan
N634RW,nan,nan,NAN,nan
N635RW,nan,nan,NAN,nan
N636RW,nan,nan,NAN,nan
N637RW,nan,nan,NAN,nan
N643RW,nan,nan,NAN,nan
N645RW,nan,nan,NAN,nan
N649RW,nan,nan,NAN,nan
N657NK,nan,nan,NAN,nan
N671DN,nan,nan,NAN,nan
N675DL,nan,nan,NAN,nan
N679DA,nan,nan,NAN,nan
N680DA,nan,nan,NAN,nan
N695NK,nan,nan,NAN,nan
N709SW,nan,nan,NAN,nan
N711HK,nan,nan,NAN,nan
N714CB,nan,nan,NAN,nan
N716SW,nan,nan,NAN,nan
N717SA,nan,nan,NAN,nan
N718SW,nan,nan,NAN,nan
N720WN,nan,nan,NAN,nan
N724SW,nan,nan,NAN,nan
N725SW,nan,nan,NAN,nan
N727SW,nan,nan,NAN,nan
N728SW,nan,nan,NAN,nan
N729SW,nan,nan,NAN,nan
N730SW,nan,nan,NAN,nan
N731SA,nan,nan,NAN,nan
N732SW,nan,nan,NAN,nan
N733SA,nan,nan,NAN,nan
N734SA,nan,nan,NAN,nan
N735SA,nan,nan,NAN,nan
N736SA,nan,nan,NAN,nan
N737JW,nan,nan,NAN,nan
N738CB,nan,nan,NAN,nan
N744SW,nan,nan,NAN,nan
N745SW,nan,nan,NAN,nan
N746SW,nan,nan,NAN,nan
N747SA,nan,nan,NAN,nan
N748SW,nan,nan,NAN,nan
N750SA,nan,nan,NAN,nan
N751SW,nan,nan,NAN,nan
N752SW,nan,nan,NAN,nan
N754SW,nan,nan,NAN,nan
N755SA,nan,nan,NAN,nan
N758SW,nan,nan,NAN,nan
N760SW,nan,nan,NAN,nan
N762SW,nan,nan,NAN,nan
N763SW,nan,nan,NAN,nan
N767SW,nan,nan,NAN,nan
N769SW,nan,nan,NAN,nan
N770SA,nan,nan,NAN,nan
N773SA,nan,nan,NAN,nan
N774SW,nan,nan,NAN,nan
N776WN,nan,nan,NAN,nan
N777QC,nan,nan,NAN,nan
N780SW,nan,nan,NAN,nan
N7811F,nan,nan,NAN,nan
N7812G,nan,nan,NAN,nan
N7813P,nan,nan,NAN,nan
N7814B,nan,nan,NAN,nan
N7816B,nan,nan,NAN,nan
N7817J,nan,nan,NAN,nan
N7818L,nan,nan,NAN,nan
N7819A,nan,nan,NAN,nan
N781WN,nan,nan,NAN,nan
N7830A,nan,nan,NAN,nan
N7836A,nan,nan,NAN,nan
N7838A,nan,nan,NAN,nan
N7839A,nan,nan,NAN,nan
N7840A,nan,nan,NAN,nan
N7842A,nan,nan,NAN,nan
N784SW,nan,nan,NAN,nan
N7850B,nan,nan,NAN,nan
N7851A,nan,nan,NAN,nan
N7853B,nan,nan,NAN,nan
N7856A,nan,nan,NAN,nan
N785SW,nan,nan,NAN,nan
N786SW,nan,nan,NAN,nan
N7882B,nan,nan,NAN,nan
N7883A,nan,nan,NAN,nan
N7884G,nan,nan,NAN,nan
N788SA,nan,nan,NAN,nan
N791SW,nan,nan,NAN,nan
N792SW,nan,nan,NAN,nan
N793SA,nan,nan,NAN,nan
N798SW,nan,nan,NAN,nan
N806MD,nan,nan,NAN,nan
N809MD,nan,nan,NAN,nan
N821MD,nan,nan,NAN,nan
N823AW,nan,nan,NAN,nan
N826MD,nan,nan,NAN,nan
N858RW,nan,nan,NAN,nan
N8601C,nan,nan,NAN,nan
N8604K,nan,nan,NAN,nan
N8622A,nan,nan,NAN,nan
N868RW,nan,nan,NAN,nan
N872RW,nan,nan,NAN,nan
N873RW,nan,nan,NAN,nan
N874RW,nan,nan,NAN,nan
N8885,nan,nan,NAN,nan
N933WN,nan,nan,NAN,nan
N934WN,nan,nan,NAN,nan
N935WN,nan,nan,NAN,nan
