TAIL_NUM,tail_raw,tail_display,MFR,MODEL,TYPE-ACFT,TYPE-ENG,YEAR MFR,AIR WORTH DATE,STATUS CODE,MODE S CODE,MODE S CODE HEX,HAS_MODEL,FOUND_IN_MASTER,FOUND_IN_ACFTREF
N8561Z,N8561Z,N8561Z,BOEING,737-800,5,5,2018,20180121,V,52740065,ABC035,True,True,True
N8329B,N8329B,N8329B,BOEING,737-8H4,5,5,2012,20121215,V,52661535,AB635D,True,True,True
N268WN,N268WN,N268WN,BOEING,737-7H4,5,5,2007,20070305,V,50517266,A29EB6,True,True,True
N7874B,N7874B,N7874B,BOEING,737-7Q8,5,5,2004,20160629,V,52526555,AAAD6D,True,True,True
N8606C,N8606C,N8606C,BOEING,737-8H4,5,5,,,V,52751004,ABD204,True,True,True
N852DN,N852DN,N852DN,BOEING,737-932ER,5,5,2016,20160122,V,52727436,ABAF1E,True,True,True
N8809L,N8809L,N8809L,BOEING,737-8,5,5,2021,20210319,V,53020563,AC2173,True,True,True
N702FR,N702FR,N702FR,AIRBUS,A321-211,5,5,2015,20151029,V,52256211,A95C89,True,True,True
N8533S,N8533S,N8533S,BOEING,737-800,5,5,2017,20170601,V,52732517,ABB54F,True,True,True
N921NK,N921NK,N921NK,AIRBUS,A320-271N,5,5,2019,20191119,V,53141427,ACC317,True,True,True
N7880D,N7880D,N7880D,BOEING,737-7K5,5,5,2007,20161110,V,52530232,AAB09A,True,True,True
N8662F,N8662F,N8662F,BOEING,737-8H4,5,5,2015,20150307,V,52763705,ABE7C5,True,True,True
N86534,N86534,N86534,BOEING,737-824,5,5,2016,20160814,V,52762110,ABE448,True,True,True
N498WN,N498WN,N498WN,BOEING,737-7H4,5,5,2005,20050117,V,51427721,A62FD1,True,True,True
N8617E,N8617E,N8617E,BOEING,737-8H4,5,5,2013,20130924,V,52752740,ABD5E0,True,True,True
N7885A,N7885A,N7885A,BOEING,737-76N,5,5,2002,20170213,V,52530506,AAB146,True,True,True
N561WN,N561WN,N561WN,BOEING,737-73V,5,5,2003,20150730,V,51626242,A72CA2,True,True,True
N493WN,N493WN,N493WN,,,,,,,,,,False,False,False
N8551Q,N8551Q,N8551Q,BOEING,737-800,5,5,2017,20171024,V,52736165,ABBC75,True,True,True
N559WN,N559WN,N559WN,,,,,,,,,,False,False,False
N570WN,N570WN,N570WN,BOEING,737-7CT,5,5,2002,20150511,V,51650152,A7506A,True,True,True
N922WN,N922WN,N922WN,BOEING,737-7H4,5,5,2008,20080528,V,53143631,ACC799,True,True,True
N7889A,N7889A,N7889A,BOEING,737-79L,5,5,2005,20181210,V,52530722,AAB1D2,True,True,True
N7855A,N7855A,N7855A,BOEING,737-79P,5,5,2005,20170612,V,52523041,AAA621,True,True,True
N470WN,N470WN,N470WN,BOEING,737-7H4,5,5,2004,20040624,V,51341433,A5C31B,True,True,True
N8631A,N8631A,N8631A,BOEING,737-8H4,5,5,2014,20140521,V,52756170,ABDC78,True,True,True
N288WN,N288WN,N288WN,BOEING,737-7H4,5,5,2007,20070815,V,50566664,A2EDB4,True,True,True
N948WN,N948WN,N948WN,BOEING,737-7H4,5,5,2010,20100604,V,53226341,AD2CE1,True,True,True
N8575Z,N8575Z,N8575Z,BOEING,737-800,5,5,2018,20180530,V,52742170,ABC478,True,True,True
N709SW,N709SW,N709SW,,,,,,,,,,False,False,False
N464WN,N464WN,N464WN,BOEING,737-7H4,5,5,2004,20040608,V,51325170,A5AA78,True,True,True
N8655D,N8655D,N8655D,BOEING,737-8H4,5,5,2014,20141211,V,52762165,ABE475,True,True,True
N8682B,N8682B,N8682B,BOEING,737-8H4,5,5,2016,20160308,V,52767457,ABEF2F,True,True,True
N816DN,N816DN,N816DN,BOEING,737-932ER,5,5,2014,20140218,V,52617776,AB1FFE,True,True,True
N7715E,N7715E,N7715E,BOEING,737-7BD,5,5,2005,20050825,V,52467712,AA6FCA,True,True,True
N8805L,N8805L,N8805L,BOEING,737-8,5,5,2021,20210308,V,53020347,AC20E7,True,True,True
N239WN,N239WN,N239WN,BOEING,737-7H4,5,5,2006,20060526,V,50425760,A22BF0,True,True,True
N8520Q,N8520Q,N8520Q,BOEING,737-800,5,5,2017,20170127,V,52730455,ABB12D,True,True,True
N8691A,N8691A,N8691A,BOEING,737-8H4,5,5,2016,20160705,V,52771302,ABF2C2,True,True,True
N416UA,N416UA,N416UA,,,,,,,,,,False,False,False
N940NK,N940NK,N940NK,AIRBUS,A320-271N,5,5,2021,20210630,V,53207136,AD0E5E,True,True,True
N7835A,N7835A,N7835A,BOEING,737-752,5,5,2005,20160112,V,52517263,AA9EB3,True,True,True
N733SA,N733SA,N733SA,,,,,,,,,,False,False,False
N902NK,N902NK,N902NK,AIRBUS,A320-271N,5,5,2016,20161014,V,53073720,AC77D0,True,True,True
N7812G,N7812G,N7812G,,,,,,,,,,False,False,False
N952AT,N952AT,N952AT,BOEING,717-200,5,5,2000,20000703,V,53236047,AD3C27,True,True,True
N7836A,N7836A,N7836A,,,,,,,,,,False,False,False
N956WN,N956WN,N956WN,BOEING,737-7H4,5,5,2011,20110427,V,53246362,AD4CF2,True,True,True
N400WN,N400WN,N400WN,,,,,,,,,,False,False,False
N8667D,N8667D,N8667D,BOEING,737-8H4,5,5,2015,20150504,V,52764162,ABE872,True,True,True
N8814K,N8814K,N8814K,BOEING,737-8,5,5,2021,20210517,V,53022172,AC247A,True,True,True
N710FR,N710FR,N710FR,AIRBUS,A321-211,5,5,2016,20160617,V,52276232,A97C9A,True,True,True
N8646B,N8646B,N8646B,BOEING,737-8H4,5,5,2014,20140815,V,52760337,ABE0DF,True,True,True
N910NN,N910NN,N910NN,BOEING,737-823,5,5,2012,20121204,V,53113744,AC97E4,True,True,True
N247WN,N247WN,N247WN,BOEING,737-7H4,5,5,2006,20060709,V,50446001,A24C01,True,True,True
N8817L,N8817L,N8817L,BOEING,737-8,5,5,2021,20210212,V,53022344,AC24E4,True,True,True
N8571Z,N8571Z,N8571Z,BOEING,737-800,5,5,2018,20180515,V,52741754,ABC3EC,True,True,True
N410WN,N410WN,N410WN,BOEING,737-7H4,5,5,2001,20010924,V,51153041,A4D621,True,True,True
N919WN,N919WN,N919WN,BOEING,737-7H4,5,5,2008,20080429,V,53135033,ACBA1B,True,True,True
N377FR,N377FR,N377FR,AIRBUS,A320-251N,5,5,2021,20210330,V,51047131,A44E59,True,True,True
N8680C,N8680C,N8680C,BOEING,737-8H4,5,5,2016,20160210,V,52767352,ABEEEA,True,True,True
N937WN,N937WN,N937WN,BOEING,737-7H4,5,5,2009,20090602,V,53200653,AD01AB,True,True,True
N918NK,N918NK,N918NK,AIRBUS,A320-271N,5,5,2019,20191108,V,53132631,ACB599,True,True,True
N947WN,N947WN,N947WN,BOEING,737-7H4,5,5,2010,20100529,V,53224452,AD292A,True,True,True
N7857B,N7857B,N7857B,BOEING,737-79P,5,5,2005,20170626,V,52523150,AAA668,True,True,True
N8507C,N8507C,N8507C,BOEING,737-800,5,5,2016,20161027,V,52725250,ABAAA8,True,True,True
N8651A,N8651A,N8651A,BOEING,737-8H4,5,5,2014,20141016,V,52761746,ABE3E6,True,True,True
N408WN,N408WN,N408WN,,,,,,,,,,False,False,False
N931WN,N931WN,N931WN,BOEING,737-7H4,5,5,2009,20090205,V,53165541,ACEB61,True,True,True
N945WN,N945WN,N945WN,BOEING,737-7H4,5,5,2010,20100331,V,53220674,AD21BC,True,True,True
N8564Z,N8564Z,N8564Z,BOEING,737-800,5,5,2018,20180224,V,52740236,ABC09E,True,True,True
N929WN,N929WN,N929WN,BOEING,737-7H4,5,5,2008,20080801,V,53160632,ACE19A,True,True,True
N273WN,N273WN,N273WN,BOEING,737-7H4,5,5,2007,20070412,V,50531642,A2B3A2,True,True,True
N8513F,N8513F,N8513F,BOEING,737-800,5,5,2016,20161211,V,52726726,ABADD6,True,True,True
N7730A,N7730A,N7730A,BOEING,737-7BD,5,5,2006,20120604,V,52473205,AA7685,True,True,True
N284WN,N284WN,N284WN,BOEING,737-7H4,5,5,2007,20070723,V,50557330,A2DED8,True,True,True
N443WN,N443WN,N443WN,BOEING,737-7H4,5,5,2003,20030902,V,51253703,A557C3,True,True,True
N37504,N37504,N37504,BOEING,737-9,5,5,2018,20180518,V,51044323,A448D3,True,True,True
N472WN,N472WN,N472WN,BOEING,737-7H4,5,5,2004,20040714,V,51345211,A5CA89,True,True,True
N103US,N103US,N103US,AIRBUS INDUSTRIE,A320-214,5,5,1999,19990625,V,50010654,A011AC,True,True,True
N872NN,N872NN,N872NN,BOEING,737-823,5,5,2011,20110812,V,52777375,ABFEFD,True,True,True
N925NK,N925NK,N925NK,AIRBUS,A320-271N,5,5,2020,20200130,V,53150763,ACD1F3,True,True,True
N649NK,N649NK,N649NK,AIRBUS,A320-232,5,5,2017,20170518,V,52103740,A887E0,True,True,True
N652AW,N652AW,N652AW,AIRBUS INDUSTRIE,A320-232,5,5,1999,19990315,V,52112075,A8943D,True,True,True
N8673F,N8673F,N8673F,BOEING,737-8H4,5,5,2015,20151201,V,52765637,ABEB9F,True,True,True
N8320J,N8320J,N8320J,BOEING,737-8H4,5,5,2012,20120828,V,52661051,AB6229,True,True,True
N285WN,N285WN,N285WN,BOEING,737-7H4,5,5,2007,20070803,V,50561217,A2E28F,True,True,True
N321NB,N321NB,N321NB,AIRBUS INDUSTRIE,A319-114,5,5,2001,20010212,V,50671465,A37335,True,True,True
N930NK,N930NK,N930NK,AIRBUS,A320-271N,5,5,2020,20200326,V,53163337,ACE6DF,True,True,True
N490UA,N490UA,N490UA,AIRBUS,A320-232,5,5,2002,20020430,V,51410733,A611DB,True,True,True
N8658A,N8658A,N8658A,BOEING,737-8H4,5,5,2015,20150108,V,52762333,ABE4DB,True,True,True
N780SW,N780SW,N780SW,,,,,,,,,,False,False,False
N950NK,N950NK,N950NK,AIRBUS,A320-271N,5,5,2021,20211217,V,53232735,AD35DD,True,True,True
N700UW,N700UW,N700UW,AIRBUS INDUSTRIE,A319-112,5,5,1998,19981123,V,52253145,A95665,True,True,True
N8730Q,N8730Q,N8730Q,BOEING,737-8,5,5,2018,20181220,V,53001742,AC03E2,True,True,True
N804DN,N804DN,N804DN,BOEING,737-932ER,5,5,2013,20131017,V,52570421,AAF111,True,True,True
N8688J,N8688J,N8688J,BOEING,737-8H4,5,5,2016,20160517,V,52770010,ABF008,True,True,True
N701FR,N701FR,N701FR,AIRBUS,A321-211,5,5,2015,20151009,V,52254322,A958D2,True,True,True
N8719Q,N8719Q,N8719Q,BOEING,737-8,5,5,2018,20180720,V,52776657,ABFDAF,True,True,True
N8639B,N8639B,N8639B,BOEING,737-8H4,5,5,2014,20140728,V,52756621,ABDD91,True,True,True
N7740A,N7740A,N7740A,BOEING,737-7BD,5,5,2007,20121101,V,52475074,AA7A3C,True,True,True
N567WN,N567WN,N567WN,BOEING,737-7CT,5,5,2002,20150416,V,51641354,A742EC,True,True,True
N8558Z,N8558Z,N8558Z,BOEING,737-800,5,5,2017,20171217,V,52736563,ABBD73,True,True,True
N7732A,N7732A,N7732A,BOEING,737-7BD,5,5,2006,20120716,V,52473313,AA76CB,True,True,True
N37530,N37530,N37530,BOEING,737-9,5,5,2021,20210104,V,51044470,A44938,True,True,True
N87507,N87507,N87507,BOEING,737-824,5,5,2008,20080124,V,53005541,AC0B61,True,True,True
N272WN,N272WN,N272WN,BOEING,737-7H4,5,5,2007,20070329,V,50527753,A2AFEB,True,True,True
N900WN,N900WN,N900WN,BOEING,737-7H4,5,5,2007,20071209,V,53070455,AC712D,True,True,True
N480WN,N480WN,N480WN,BOEING,737-7H4,5,5,2004,20040825,V,51365232,A5EA9A,True,True,True
N946WN,N946WN,N946WN,BOEING,737-7H4,5,5,2010,20100424,V,53222563,AD2573,True,True,True
N315NB,N315NB,N315NB,AIRBUS INDUSTRIE,A319-114,5,5,2000,20000705,V,50655222,A35A92,True,True,True
N8811L,N8811L,N8811L,BOEING,737-8,5,5,2021,20210331,V,53022022,AC2412,True,True,True
N730SW,N730SW,N730SW,,,,,,,,,,False,False,False
N462WN,N462WN,N462WN,BOEING,737-7H4,5,5,2004,20040601,V,51321412,A5A30A,True,True,True
N211WN,N211WN,N211WN,BOEING,737-7H4,5,5,2005,20050429,V,50337472,A1BF3A,True,True,True
N7820L,N7820L,N7820L,BOEING,737-79P,5,5,2002,20150722,V,52515127,AA9A57,True,True,True
N8804L,N8804L,N8804L,BOEING,737-8,5,5,2021,20210323,V,53020304,AC20C4,True,True,True
N7750A,N7750A,N7750A,BOEING,737-7BD,5,5,2008,20080204,V,52476763,AA7DF3,True,True,True
N494WN,N494WN,N494WN,BOEING,737-7H4,5,5,2004,20041212,V,51420365,A620F5,True,True,True
N605NK,N605NK,N605NK,AIRBUS,A320-232,5,5,2011,20110119,V,51755410,A7DB08,True,True,True
N838UA,N838UA,N838UA,AIRBUS INDUSTRIE,A319-131,5,4,2001,20010511,V,52673725,AB77D5,True,True,True
N989AT,N989AT,N989AT,BOEING,717-200,5,5,2001,20020509,V,53346245,ADCCA5,True,True,True
N8618N,N8618N,N8618N,BOEING,737-8H4,5,5,2013,20131101,V,52753013,ABD60B,True,True,True
N258WN,N258WN,N258WN,BOEING,737-7H4,5,5,2006,20061014,V,50473467,A27737,True,True,True
N467WN,N467WN,N467WN,BOEING,737-7H4,5,5,2004,20040614,V,51332635,A5B59D,True,True,True
N114DU,N114DU,N114DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,5,5,2019,20190530,V,50035555,A03B6D,True,True,True
N7844A,N7844A,N7844A,BOEING,737-752,5,5,2007,20151012,V,52521107,AAA247,True,True,True
N573NN,N573NN,N573NN,BOMBARDIER INC,CL-600-2D24,5,5,2015,20150409,V,51655307,A75AC7,True,True,True
N717SA,N717SA,N717SA,,,,,,,,,,False,False,False
N246LV,N246LV,N246LV,BOEING,737-7H4,5,5,2006,20060630,V,50443527,A24757,True,True,True
N8550Q,N8550Q,N8550Q,BOEING,737-800,5,5,2017,20171028,V,52736122,ABBC52,True,True,True
N201LV,N201LV,N201LV,BOEING,737-7H4,5,5,2005,20050215,V,50313310,A196C8,True,True,True
N8637A,N8637A,N8637A,BOEING,737-8H4,5,5,2014,20140625,V,52756512,ABDD4A,True,True,True
N8635F,N8635F,N8635F,BOEING,737-8H4,5,5,2014,20140617,V,52756411,ABDD09,True,True,True
N401YX,N401YX,N401YX,EMBRAER S A,ERJ 170-200 LR,5,5,2013,20130717,V,51131224,A4B294,True,True,True
N390DA,N390DA,N390DA,BOEING,737-832,5,5,2000,20000427,V,51101425,A48315,True,True,True
N673AW,N673AW,N673AW,AIRBUS,A320-232,5,5,,,V,52163362,A8E6F2,True,True,True
N920WN,N920WN,N920WN,BOEING,737-7H4,5,5,2008,20080430,V,53140053,ACC02B,True,True,True
N451WN,N451WN,N451WN,BOEING,737-7H4,5,5,2004,20040225,V,51273724,A577D4,True,True,True
N939NK,N939NK,N939NK,AIRBUS,A320-271N,5,5,2021,20210625,V,53204116,AD084E,True,True,True
N566WN,N566WN,N566WN,BOEING,737-7CT,5,5,2002,20150318,V,51637465,A73F35,True,True,True
N489WN,N489WN,N489WN,BOEING,737-7H4,5,5,2004,20041014,V,51406011,A60C09,True,True,True
N8694E,N8694E,N8694E,BOEING,737-8H4,5,5,2016,20160804,V,52771457,ABF32F,True,True,True
N8584Z,N8584Z,N8584Z,BOEING,737-800,5,5,2018,20180825,V,52744014,ABC80C,True,True,True
N277AK,N277AK,N277AK,BOEING,737-900ER,5,5,2017,20170801,V,50540207,A2C087,True,True,True
N486WN,N486WN,N486WN,BOEING,737-7H4,5,5,2004,20040927,V,51400344,A600E4,True,True,True
N833DN,N833DN,N833DN,BOEING,737-932ER,5,5,2015,20150128,V,52661727,AB63D7,True,True,True
N37462,N37462,N37462,BOEING,737-924ER,5,5,2012,20121119,V,51042754,A445EC,True,True,True
N267WN,N267WN,N267WN,BOEING,737-7H4,5,5,2007,20070225,V,50515377,A29AFF,True,True,True
N828UA,N828UA,N828UA,AIRBUS INDUSTRIE,A319-131,5,4,1999,19990625,V,52650126,AB5056,True,True,True
N335NW,N335NW,N335NW,AIRBUS INDUSTRIE,A320-212,5,5,1992,19960821,V,50724643,A3A9A3,True,True,True
N736SA,N736SA,N736SA,,,,,,,,,,False,False,False
N374CA,N374CA,N374CA,BOMBARDIER INC,CL-600-2C11,5,5,2003,20250122,V,51041332,A442DA,True,True,True
N338NB,N338NB,N338NB,AIRBUS,A319-114,5,5,2002,20020309,V,50732265,A3B4B5,True,True,True
N216FR,N216FR,N216FR,,,,,,,,,,False,False,False
N7727A,N7727A,N7727A,BOEING,737-76N,5,5,2006,20060511,V,52471703,AA73C3,True,True,True
N483WN,N483WN,N483WN,BOEING,737-7H4,5,5,2004,20040913,V,51372677,A5F5BF,True,True,True
N855NN,N855NN,N855NN,BOEING,737-823,5,5,2010,20101004,V,52735444,ABBB24,True,True,True
N8607M,N8607M,N8607M,BOEING,737-8H4,5,5,2013,20130119,V,52751060,ABD230,True,True,True
N8686A,N8686A,N8686A,BOEING,737-8H4,5,5,2016,20160502,V,52767672,ABEFBA,True,True,True
N7752B,N7752B,N7752B,BOEING,737-7BD,5,5,2008,20080317,V,52477072,AA7E3A,True,True,True
N8728Q,N8728Q,N8728Q,BOEING,737-8,5,5,2018,20181227,V,53000503,AC0143,True,True,True
N365FR,N365FR,N365FR,AIRBUS,A320-251N,5,5,2019,20191213,V,51017554,A41F6C,True,True,True
N485WN,N485WN,N485WN,BOEING,737-7H4,5,5,2004,20040921,V,51376455,A5FD2D,True,True,True
N227WN,N227WN,N227WN,BOEING,737-7H4,5,5,2005,20051209,V,50376403,A1FD03,True,True,True
N256WN,N256WN,N256WN,BOEING,737-7H4,5,5,2006,20060927,V,50467711,A26FC9,True,True,True
N265WN,N265WN,N265WN,BOEING,737-7H4,5,5,2007,20070202,V,50511621,A29391,True,True,True
N429WN,N429WN,N429WN,BOEING,737-7H4,5,5,2002,20021216,V,51217417,A51F0F,True,True,True
N7821L,N7821L,N7821L,BOEING,737-7CT,5,5,2003,20150604,V,52515172,AA9A7A,True,True,True
N255WN,N255WN,N255WN,BOEING,737-7H4,5,5,2006,20060912,V,50466022,A26C12,True,True,True
N716SW,N716SW,N716SW,,,,,,,,,,False,False,False
N122US,N122US,N122US,AIRBUS INDUSTRIE,A320-214,5,5,2000,20001016,V,50056363,A05CF3,True,True,True
N7728D,N7728D,N7728D,BOEING,737-7BD,5,5,2006,20060612,V,52471751,AA73E9,True,True,True
N427WN,N427WN,N427WN,BOEING,737-7H4,5,5,2002,20020424,V,51213641,A517A1,True,True,True
N813NN,N813NN,N813NN,BOEING,737-823,5,5,2009,20091102,V,52612672,AB15BA,True,True,True
N8544Z,N8544Z,N8544Z,BOEING,737-800,5,5,2017,20170816,V,52734460,ABB930,True,True,True
N8669B,N8669B,N8669B,BOEING,737-8H4,5,5,2015,20150605,V,52764266,ABE8B6,True,True,True
N441WN,N441WN,N441WN,BOEING,737-7H4,5,5,2003,20030809,V,51250125,A55055,True,True,True
N7815L,N7815L,N7815L,BOEING,737-76Q,5,5,2003,20140114,V,52513517,AA974F,True,True,True
N47524,N47524,N47524,BOEING,737-9,5,5,2020,20201215,V,51353150,A5D668,True,True,True
N457WN,N457WN,N457WN,BOEING,737-7H4,5,5,2004,20040408,V,51307036,A58E1E,True,True,True
N280WN,N280WN,N280WN,BOEING,737-7H4,5,5,2007,20070620,V,50547774,A2CFFC,True,True,True
N933WN,N933WN,N933WN,,,,,,,,,,False,False,False
N7725A,N7725A,N7725A,BOEING,737-76N,5,5,2006,20060417,V,52471575,AA737D,True,True,True
N556WN,N556WN,N556WN,BOEING,737-7BD,5,5,2011,20110408,V,51613666,A717B6,True,True,True
N8707P,N8707P,N8707P,BOEING,737-8,5,5,,,V,52774661,ABF9B1,True,True,True
N8615E,N8615E,N8615E,BOEING,737-8H4,5,5,2013,20130916,V,52752632,ABD59A,True,True,True
N936NK,N936NK,N936NK,AIRBUS,A320-271N,5,5,2021,20210312,V,53176451,ACFD29,True,True,True
N890DN,N890DN,N890DN,BOEING,737-900ER,5,5,2018,20180202,V,53042654,AC45AC,True,True,True
N8302F,N8302F,N8302F,BOEING,737-8H4,5,5,2012,20120325,V,52655376,AB5AFE,True,True,True
N250WN,N250WN,N250WN,BOEING,737-7H4,5,5,2006,20060809,V,50454577,A2597F,True,True,True
N664AW,N664AW,N664AW,AIRBUS INDUSTRIE,A320-232,5,5,2001,20020211,V,52141452,A8C32A,True,True,True
N8553W,N8553W,N8553W,BOEING,737-800,5,5,2017,20171203,V,52736301,ABBCC1,True,True,True
N432WN,N432WN,N432WN,,,,,,,,,,False,False,False
N8647A,N8647A,N8647A,BOEING,737-8H4,5,5,2014,20140814,V,52760401,ABE101,True,True,True
N7713A,N7713A,N7713A,BOEING,737-7BD,5,5,2005,20050615,V,52467600,AA6F80,True,True,True
N428UA,N428UA,N428UA,AIRBUS INDUSTRIE,A320-232,5,5,1995,19950519,V,51215432,A51B1A,True,True,True
N924WN,N924WN,N924WN,BOEING,737-7H4,5,5,2008,20080626,V,53147407,ACCF07,True,True,True
N772XF,N772XF,N772XF,AIRBUS,A319-112,5,5,2003,20180910,V,52471210,AA7288,True,True,True
N477WN,N477WN,N477WN,BOEING,737-7H4,5,5,2004,20040810,V,51356434,A5DD1C,True,True,True
N7873A,N7873A,N7873A,BOEING,737-7Q8,5,5,2004,20160519,V,52526511,AAAD49,True,True,True
N374NW,N374NW,N374NW,AIRBUS INDUSTRIE,A320-212,5,5,2001,20020130,V,51041750,A443E8,True,True,True
N384FR,N384FR,N384FR,AIRBUS,A320-251N,5,5,2021,20210818,V,51065263,A46AB3,True,True,True
N957WN,N957WN,N957WN,BOEING,737-7H4,5,5,2011,20110520,V,53250251,AD50A9,True,True,True
N8710M,N8710M,N8710M,BOEING,737-8,5,5,2017,20170825,V,52776161,ABFC71,True,True,True
N7833A,N7833A,N7833A,BOEING,737-79P,5,5,2003,20151222,V,52517155,AA9E6D,True,True,True
N262WN,N262WN,N262WN,BOEING,737-7H4,5,5,2006,20061220,V,50504154,A2886C,True,True,True
N279WN,N279WN,N279WN,BOEING,737-7H4,5,5,2007,20070611,V,50544754,A2C9EC,True,True,True
N933NK,N933NK,N933NK,AIRBUS,A320-271N,5,5,2020,20200821,V,53171004,ACF204,True,True,True
N613NK,N613NK,N613NK,AIRBUS,A320-232,5,5,2012,20120307,V,51775431,A7FB19,True,True,True
N641NK,N641NK,N641NK,AIRBUS,A320-232,5,5,2015,20150502,V,52065050,A86A28,True,True,True
N942AT,N942AT,N942AT,BOEING,717-200,5,5,1999,19990916,V,53212250,AD14A8,True,True,True
N8554X,N8554X,N8554X,BOEING,737-800,5,5,2017,20171206,V,52736345,ABBCE5,True,True,True
N914WN,N914WN,N914WN,BOEING,737-7H4,5,5,2008,20080307,V,53123610,ACA788,True,True,True
N8627B,N8627B,N8627B,BOEING,737-8H4,5,5,2014,20140417,V,52754624,ABD994,True,True,True
N285NN,N285NN,N285NN,EMBRAER S A,ERJ 170-200 LR,5,5,2019,20191010,V,50560707,A2E1C7,True,True,True
N905NK,N905NK,N905NK,AIRBUS,A320-271N,5,5,2016,20161216,V,53101365,AC82F5,True,True,True
N458WN,N458WN,N458WN,BOEING,737-7H4,5,5,2004,20040422,V,51310725,A591D5,True,True,True
N238WN,N238WN,N238WN,BOEING,737-7H4,5,5,2005,20060521,V,50424071,A22839,True,True,True
N8722L,N8722L,N8722L,BOEING,737-8,5,5,2018,20180930,V,53000155,AC006D,True,True,True
N8318F,N8318F,N8318F,BOEING,737-8H4,5,5,2012,20120817,V,52657607,AB5F87,True,True,True
N219WN,N219WN,N219WN,BOEING,737-7H4,5,5,2005,20050708,V,50356362,A1DCF2,True,True,True
N962WN,N962WN,N962WN,BOEING,737-7H4,5,5,2011,20110727,V,53262625,AD6595,True,True,True
N119HQ,N119HQ,N119HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,5,5,2007,20071031,V,50047140,A04E60,True,True,True
N8548P,N8548P,N8548P,BOEING,737-800,5,5,2017,20171007,V,52734662,ABB9B2,True,True,True
N602LR,N602LR,N602LR,BOMBARDIER INC,CL-600-2D24,5,5,2008,20080111,V,51747667,A7CFB7,True,True,True
N861DN,N861DN,N861DN,BOEING,737-932ER,5,5,2016,20160630,V,52751346,ABD2E6,True,True,True
N32404,N32404,N32404,BOEING,737-924,5,5,2001,20010717,V,50677641,A37FA1,True,True,True
N604NK,N604NK,N604NK,AIRBUS,A320-232,5,5,,,V,51753521,A7D751,True,True,True
N566NN,N566NN,N566NN,BOMBARDIER INC,CL-600-2D24,5,5,2015,20150213,V,51637155,A73E6D,True,True,True
N845DN,N845DN,N845DN,BOEING,737-932ER,5,5,2015,20150827,V,52711304,AB92C4,True,True,True
N429UA,N429UA,N429UA,AIRBUS INDUSTRIE,A320-232,5,5,1995,19950724,V,51217321,A51ED1,True,True,True
N353NB,N353NB,N353NB,AIRBUS,A319-114,5,5,2002,20021120,V,50770440,A3F120,True,True,True
N614NK,N614NK,N614NK,AIRBUS,A320-232,5,5,2012,20120524,V,51777320,A7FED0,True,True,True
N434WN,N434WN,N434WN,,,,,,,,,,False,False,False
N866NN,N866NN,N866NN,BOEING,737-823,5,5,2010,20101216,V,52763132,ABE65A,True,True,True
N769US,N769US,N769US,AIRBUS INDUSTRIE,A319-112,5,5,2000,20010108,V,52462312,AA64CA,True,True,True
N946AT,N946AT,N946AT,BOEING,717-200,5,5,1999,19991105,V,53221604,AD2384,True,True,True
N550WN,N550WN,N550WN,BOEING,737-76Q,5,5,2001,20070414,V,51600554,A7016C,True,True,True
N206WN,N206WN,N206WN,BOEING,737-7H4,5,5,2005,20050323,V,50325116,A1AA4E,True,True,True
N405WN,N405WN,N405WN,,,,,,,,,,False,False,False
N724SW,N724SW,N724SW,,,,,,,,,,False,False,False
N804NN,N804NN,N804NN,BOEING,737-823,5,5,,20090825,V,52570762,AAF1F2,True,True,True
N7741C,N7741C,N7741C,BOEING,737-7BD,5,5,2007,20130711,V,52475141,AA7A61,True,True,True
N8656B,N8656B,N8656B,BOEING,737-8H4,5,5,2014,20141223,V,52762226,ABE496,True,True,True
N7856A,N7856A,N7856A,,,,,,,,,,False,False,False
N415WN,N415WN,N415WN,,,,,,,,,,False,False,False
N8312C,N8312C,N8312C,BOEING,737-8H4,5,5,2012,20120622,V,52657262,AB5EB2,True,True,True
N732US,N732US,N732US,AIRBUS INDUSTRIE,A319-112,5,5,2000,20000428,V,52352114,A9D44C,True,True,True
N937NK,N937NK,N937NK,AIRBUS,A320-271N,5,5,2021,20210326,V,53200340,AD00E0,True,True,True
N8525S,N8525S,N8525S,BOEING,737-800,5,5,2017,20170228,V,52730736,ABB1DE,True,True,True
N803DN,N803DN,N803DN,BOEING,737-932ER,5,5,2013,20131010,V,52566532,AAED5A,True,True,True
N8731J,N8731J,N8731J,BOEING,737-8,5,5,2018,20181219,V,53001777,AC03FF,True,True,True
N7813P,N7813P,N7813P,,,,,,,,,,False,False,False
N542UW,N542UW,N542UW,AIRBUS,A321-231,5,5,2009,20091216,V,51560461,A6E131,True,True,True
N7829B,N7829B,N7829B,BOEING,737-7CT,5,5,2003,20151021,V,52515611,AA9B89,True,True,True
N8541W,N8541W,N8541W,BOEING,737-800,5,5,2017,20170628,V,52734304,ABB8C4,True,True,True
N319NB,N319NB,N319NB,AIRBUS INDUSTRIE,A319-114,5,5,2000,20001106,V,50664556,A3696E,True,True,True
N463WN,N463WN,N463WN,BOEING,737-7H4,5,5,2004,20040604,V,51323301,A5A6C1,True,True,True
N928NK,N928NK,N928NK,AIRBUS SAS,A320-271N,5,5,2019,20200408,V,53156430,ACDD18,True,True,True
