TAIL_NUM,tail_raw,tail_display,MFR,MODEL,TYPE-ACFT,TYPE-ENG,YEAR MFR,AIR WORTH DATE,STATUS CODE,MODE S CODE,MODE S CODE HEX,HAS_MODEL,FOUND_IN_MASTER,FOUND_IN_ACFTREF
N508NK,N508NK,N508NK,,,,,,,,,,False,False,False
N807NN,N807NN,N807NN,BOEING,737-823,5,5,,20090922,V,52576427,AAFD17,True,True,True
N75435,N75435,N75435,BOEING,737-924ER,5,5,2009,20090528,V,52425704,AA2BC4,True,True,True
N495WN,N495WN,N495WN,BOEING,737-7H4,5,5,2004,20041222,V,51422254,A624AC,True,True,True
N8751R,N8751R,N8751R,BOEING,737-8,5,5,2021,20210921,V,53005564,AC0B74,True,True,True
N8668A,N8668A,N8668A,BOEING,737-8H4,5,5,2015,20150517,V,52764222,ABE892,True,True,True
N864DN,N864DN,N864DN,BOEING,737-932ER,5,5,2016,20160819,V,52757013,ABDE0B,True,True,True
N716UW,N716UW,N716UW,AIRBUS INDUSTRIE,A319-112,5,5,1999,19990830,V,52312056,A9942E,True,True,True
N849NN,N849NN,N849NN,BOEING,737-823,5,5,2010,20100817,V,52721201,ABA281,True,True,True
N76514,N76514,N76514,BOEING,737-824,5,5,2008,20080726,V,52453263,AA56B3,True,True,True
N282NN,N282NN,N282NN,EMBRAER S A,ERJ 170-200 LR,5,5,2019,20190718,V,50553242,A2D6A2,True,True,True
N907WN,N907WN,N907WN,BOEING,737-7H4,5,5,2008,20080131,V,53105456,AC8B2E,True,True,True
N720FR,N720FR,N720FR,AIRBUS,A321-211,5,5,2017,20171009,V,52322031,A9A419,True,True,True
N954WN,N954WN,N954WN,BOEING,737-7H4,5,5,2011,20110210,V,53242604,AD4584,True,True,True
N8313F,N8313F,N8313F,BOEING,737-8H4,5,5,2012,20120628,V,52657330,AB5ED8,True,True,True
N690NK,N690NK,N690NK,AIRBUS,A320-232,5,5,2018,20181004,V,52225754,A92BEC,True,True,True
N966AN,N966AN,N966AN,BOEING,737-823,5,5,2001,20010605,V,53271175,AD727D,True,True,True
N907XJ,N907XJ,N907XJ,BOMBARDIER INC,CL-600-2D24,5,5,2007,20070827,V,53105503,AC8B43,True,True,True
N717UW,N717UW,N717UW,AIRBUS INDUSTRIE,A319-112,5,5,1999,19990927,V,52313745,A997E5,True,True,True
N938AT,N938AT,N938AT,BOEING,717-200,5,5,2006,20060418,V,53201563,AD0373,True,True,True
N87513,N87513,N87513,BOEING,737-824,5,5,2008,20080627,V,53005600,AC0B80,True,True,True
N184US,N184US,N184US,AIRBUS INDUSTRIE,A321-211,5,5,2002,20020315,V,50250533,A1515B,True,True,True
N621NK,N621NK,N621NK,AIRBUS,A320-232,5,5,2013,20130712,V,52015452,A81B2A,True,True,True
N844DN,N844DN,N844DN,BOEING,737-932ER,5,5,2015,20150804,V,52707415,AB8F0D,True,True,True
N653NK,N653NK,N653NK,AIRBUS,A320-232,5,5,2018,20180131,V,52114425,A89915,True,True,True
N750EV,N750EV,N750EV,BOMBARDIER INC,CL-600-2C10,5,5,2004,20040902,V,52415201,AA1A81,True,True,True
N16217,N16217,N16217,BOEING,737-824,5,5,1998,19990701,V,50175667,A0FBB7,True,True,True
N39450,N39450,N39450,BOEING,737-924ER,5,5,2012,20120330,V,51112305,A494C5,True,True,True
N375FR,N375FR,N375FR,AIRBUS,A320-251N,5,5,2020,20201215,V,51043353,A446EB,True,True,True
N128AN,N128AN,N128AN,AIRBUS,A321-231,5,5,2014,20141120,V,50070567,A07177,True,True,True
N8326F,N8326F,N8326F,BOEING,737-8H4,5,5,2012,20121121,V,52661370,AB62F8,True,True,True
N127HQ,N127HQ,N127HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,5,5,2008,20080215,V,50067161,A06E71,True,True,True
